name|menu|restCallNumber|restLocation|subInfo|openingHourTime
칙피스 신사점|"비건 샐러드 (Vegan Salad)_11,500원|아보카도 샐러드 (Avocado Salad)_14,000원|미트 러버 피타 볼 세트_16,500원|그릴드쉬림프 라이스 (Grilled Shrimp Rice)_15,000원"|0507-1338-6780|서울 강남구 강남대로152길 69|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분|11:30 - 20:30
콘유|"숯불꼬치 세트 A_16,000원|숯불꼬치 세트B_16,000원|아보카도 참치 육회_23,000원|닭완자_5,000원"|02-545-0527|서울 강남구 도산대로11길 31-7|단체석, 예약, 무선 인터넷, 남/녀 화장실 구분|18:00 - 24:00
콘피에르|"디너코스(9코스)_69,000원|런치코스(7코스)_49,000원"|0507-1373-0827|서울 강남구 도산대로49길 10-2 2F|발렛파킹, 예약, 무선 인터넷|12:00 - 21:30
롸카두들 내쉬빌 핫치킨 압구정|클래식_8,700원|02-3447-3456|서울 강남구 언주로164길 35-3 1층|포장, 배달, 무선 인터넷|11:30 - 21:00
임프레션|"런치 테이스팅 코스 메뉴_변동|디너 테이스팅 코스 메뉴_변동"|02-6925-5522|서울 강남구 언주로164길 24 5층|발렛파킹, 남/녀 화장실 구분|12:00 - 22:00
벙커컴퍼니 압구정점|에스프레소_5,000원|0507-1357-1456|서울 강남구 언주로167길 23 단독주택 1, 2층|포장, 무선 인터넷, 남/녀 화장실 구분|10:00 - 21:00
보타르가|Bottarga Pasta_38,000원|010-8558-5378|서울 강남구 언주로170길 16 1층|단체석, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분|12:00 - 22:00
메리고라운드 스테이크|"스테이크브런치_17,000원|파스타,스테이크 세트_49,000원|디럭스세트_84,000원|킹콩스테이크_42,000원"|02-6080-9141|서울 강남구 논현로175길 69 원영빌딩 1층|단체석, 주차, 포장, 배달, 방문접수/출장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|11:30 - 22:00
신미식당|"생삼겹살(200g)_16,000원|생목살(200g)_16,000원|감자탕 대_45,000원|된장찌개, 김치찌개, 순두부_8,000원"|02-516-4900|서울 강남구 압구정로 214 현대종합상가빌딩 1층|단체석, 국민지원금|11:00 - 22:00
압구정제주집|"한라산세트_69,000원|성산일출봉 세트_49,000원|LA갈비_24,000원|흑돼지삼겹살_19,000원"|02-514-5882|서울 강남구 논현로152길 36 1층|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 지역화폐(모바일형), 제로페이, 국민지원금|11:00 - 새벽 01:00
얼오브샌드위치 압구정로데오점|"치폴레 치킨 아보카도_9,900원|얼스 클럽_9,900원|이탈리안_8,900원|풀 몬테규_10,900원"|0507-1319-6953|서울 강남구 도산대로49길 16 압구정 로데오거리 한창상가 B/D 1층|포장, 배달, 무선 인터넷|10:30 - 21:00
감성타코 가로수길점|"감성 그릴드 파히타_38,000원|까르니따스 치즈 타코_9,000원|파인애플 살사 베르데 타코_9,000원|숏립 타코_11,800원"|02-516-8884|서울 강남구 가로수길 26 3층|포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|12:00 - 22:00
웜브라운 베이커리카페|아이스아메리카노_변동|02-6925-0232|서울 강남구 논현로159길 41 1층|포장, 무선 인터넷|10:00 - 22:00
한남베르그 도산|"베르그 커피_6,000원|크라미슈_7,500원"|0507-1396-1750|서울 강남구 도산대로49길 31 1층 105호|무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|11:00 - 22:00
을지다락 도산공원|"다락오므라이스_14,000원|매콤크림파스타_17,000원|가츠산도_12,000원|찹목살스테이크_20,000원"|0507-1358-9197|서울 강남구 언주로168길 25 2층|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 제로페이, 국민지원금|11:30 - 21:10
지강낙곱새 압구정본점|"낙곱새 1인분[비조리, 공기밥별도]_13,000원|차돌낙곱새 1인분[비조리, 공기밥별도]_18,000원|낙곱새 1인분[조리, 공기밥포함]_14,000원|차돌낙곱새 1인분(조리, 공기밥포함)_19,000원"|02-518-8848|서울 강남구 압구정로30길 17 111호, 112호, 104-1호|주차, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:00 - 22:00
그랑씨엘|"앤쵸비 오일 파스타_24,500원|한우 채끝등심 스테이크_75,000원|이탈리안 전통 토마토 스프_8,500원|까르보나라_25,000원"|02-548-0283|서울 강남구 도산대로45길 16-6 1층|단체석|11:00 - 22:00
Just Steak|"T-Bone Steak (100g)_19,300원|L-Bone steak (100g)_15,300원|그릴에 구운 야채_12,500원|볼로네제_22,000원"|02-544-9357|서울 강남구 언주로152길 11-7|단체석|11:30 - 22:00
샤블리|"샤블리 정식_26,000원|차돌박이구이 & 샤브 정식_29,000원|한우소고기샤브 정식_38,000원|대패삼겹살 with 샤브샤브_25,000원"|0507-1432-8869|서울 강남구 강남대로152길 35 2층|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 남/녀 화장실 구분|11:30 - 23:00
호쿠모쿠|"모치코치킨 플레이트_12,000원|쉬림프 박스 플레이트_15,000원|피칸테 쉬림프 오일 파스타_18,000원|그릴드 쉬림프 포케_15,000원"|0507-1421-3573|서울 강남구 압구정로46길 5-12 1층|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반|11:30 - 22:00
도쿄등심 압구정점|"런치 스페셜 A_59,000원|런치 스페셜 B_69,000원|런치 스페셜 C_79,000원|디너 스페셜 A_109,000원"|0507-1405-2262|서울 강남구 도산대로49길 9 스타크빌딩 3층|단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|11:00 - 22:00
길버트버거앤프라이즈|"길버트_11,000원|MR.프레지던트_11,000원|더 클래식_8,500원|로켓_12,000원"|0507-1427-5453|서울 강남구 도산대로15길 47|단체석, 발렛파킹, 포장, 무선 인터넷, 국민지원금|11:30 - 21:00
듀자미|"카라멜 소금케이크(조각)_6,700원|카라멜 소금케이크(홀)_52,000원|보드라운 딸기 생크림케이크(조각)_6,700원|보드라운 딸기 생크림케이크(15cm 홀)_36,000원"|02-3443-0030|서울 강남구 도산대로11길 28|단체석, 주차, 포장, 예약, 무선 인터넷, 국민지원금|12:00 - 21:30
마이쏭|"MySsong Brunch Plate_18,000원|Ssong Burger_17,500원|Classic Eggs Benedict_17,000원|Bacon Cheese burger_19,500원"|02-518-0105|서울 강남구 도산대로45길 16-4|단체석, 발렛파킹, 포장, 무선 인터넷|10:00 - 22:00
이끼롤까스 가로수길점|"치킨치즈롤까스_14,500원|고구마치즈돈까스_14,500원|카레치즈롤까스_14,500원|날치알치즈롤까스_14,500원"|0507-1403-3347|서울 강남구 강남대로156길 35|주차, 포장, 예약, 무선 인터넷|11:30 - 21:20
레브|"위스키하이볼_15,000원|아디오스마더x커_17,000원|하몽 루꼴라 피자_21,000원|바질크림문어튀김_24,000원"|070-4120-5500|서울 강남구 언주로172길 54 1층|단체석, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|12:00 - 새벽 04:00
갓포아키 도산공원점|모둠사시미 1인_32,000원|02-540-8669|서울 강남구 도산대로45길 8-3 쿠키빌딩|발렛파킹, 포장, 예약, 남/녀 화장실 구분|17:30 - 새벽 00:30
세시셀라 도산공원점|"당근케이크_8,800원|와플브런체세트_14,300원|크레이프케이크_8,800원|오늘의티_8,700원"|02-3448-7100|서울 강남구 도산대로45길 10-4 삼경빌딩 1층|none|11:30 - 22:00
마르르 본점|"마라탕_변동|꿔바로우_14,000원|마라탕 백탕_변동|라즈지_15,000원"|02-6083-3456|서울 강남구 도산대로53길 29 1층|발렛파킹, 포장, 배달, 반려동물 동반, 제로페이|11:30 - 22:00
온다|"감자뇨끼_17,000원|부라슈또 피자_24,000원|크랩 파스타_17,000원|한우안심스테이크_48,000원"|02-544-5558|서울 강남구 강남대로156길 39 1~2F|단체석, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 22:00
안다즈서울강남 조각보|"활 바닷가재 한마리 (씨푸드 그릴)_108,000원|쇠고기 랍스터 전골 (씨푸드 그릴)_110,000원|소프트 쉘 크랩과 감자튀김 (씨푸드 그릴)_24,000원|28일간 드라이 에이징한 소고기 본 인 립아이(100g)_18,500원"|02-2193-1191|서울 강남구 논현로 854 안다즈서울강남 2층|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분|10:30 - 11:30 브레이크타임
소이연남마오|"소고기쌀국수_11,000원|똠얌쌀국수_13,000원|꿍팟퐁커리(새우 옐로 커리)_29,000원|똠얌꿍_16,000원"|0507-1315-5130|서울 강남구 도산대로53길 30 소이연남마오 1, 2층|발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(모바일형), 제로페이, 국민지원금|11:30 - 21:50
스킬렛 스테이크하우스|"티본스테이크(국내산 500g)_75,000원|티본스테이크(국내산 1000g)_145,000원|채끝스테이크(국내산 300g)_52,000원"|0507-1417-6060|서울 강남구 논현로161길 57|단체석, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 22:00
야사이마끼 쿠이신보|"돼지고기 샤브샤브_17,800원|돼지고기 세이로무시_17,800원|치킨난방_12,500원|멘치카츠_9,800원"|010-9498-9215|서울 강남구 강남대로152길 62 1층 야사이마끼 쿠이신보|발렛파킹, 무선 인터넷, 남/녀 화장실 구분|17:30 - 새벽 02:00
장다리곱창|"원조소곱창_23,000원|모둠구이_25,000원|극내산 특양_27,000원|곱창전골_23,000원"|0507-1403-7286|서울 강남구 압구정로46길 5-14 지상1층|단체석, 발렛파킹, 예약, 남/녀 화장실 구분, 제로페이, 국민지원금|17:00 - 새벽 05:00
Lu307 이자카야|"꼬치구이 7종_24,500원|창코나베_33,000원|바지락술찜_21,000원|야끼소바_21,000원"|02-6205-3007|서울 강남구 압구정로10길 30-7 1층|단체석, 포장, 배달, 예약, 무선 인터넷|17:00 - 새벽 01:30
갓포 히미츠 X 뱅가드 하이파이 뮤직 라운지|"1인 사시미모리아와세_22,000원|제철 석화_18,000원|연어 사시미_23,000원|사시미 고노와다_23,000원"|0507-1354-0139|서울 강남구 압구정로54길 14 지하 1층|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|22:30 라스트오더
디크루즈|"디크루즈 씨푸드 타워_85,000원|문어 스테이크_35,000원|소고기 타르타르_32,000원|그릴 새우_32,000원"|0507-1310-5570|서울 강남구 선릉로153길 12 2층|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|18:00 - 새벽 02:00
골드피쉬 딤섬퀴진|"가지볶음_18,000원|무떡볶음_14,000원|멘보샤_12,000원|다루면_12,000원"|0507-1345-5266|서울 강남구 압구정로48길 35 투구빌딩 2층|발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 21:30
엘피노323|"치킨엔칠라다와 살사베르데_17,500원|카르니타스 타코_9,900원|까르네 아사다 또르띠아 보울_17,500원"|0507-1408-6248|서울 강남구 강남대로 652 (신사스퀘어)205호|단체석, 포장, 배달, 무선 인터넷, 국민지원금|11:30 - 21:50
쿠라우니|"쿠라우니_6,500원|아메리카노_5,000원|카페라떼_5,500원|마리아쥬 홍차_7,000원"|02-512-2202|서울 강남구 강남대로156길 39|포장, 무선 인터넷, 남/녀 화장실 구분|11:00 - 21:00
목포집|"닭볶음탕(소)_25,000원|닭볶음탕(중)_35,000원|닭볶음탕(대)_45,000원|닭볶음탕(특대)_55,000원"|02-549-5119|서울 강남구 강남대로152길 24|포장, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|11:30 - 22:00
PEACH|"Chestnut Latte_8,000원|(Dessert) 생크림케이크_9,000원|(Dessert) 흑임자 케이크_8,500원|(Brunch) 피치 브런치_26,000원"|070-8861-6708|서울 강남구 언주로168길 32 1층|단체석, 발렛파킹, 포장, 예약, 무선 인터넷|11:00 - 22:00
프레즈드로이|"Koleno_34,000원|Goulash_26,000원|Prazdroj pizza_19,000원|Crunch shrimp_17,000원"|02-515-7077|서울 강남구 강남대로156길 41|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 국민지원금|14:00 - 새벽 02:00
이치서울|"쑥 아이스크림_5,000원|고구마 푸딩_7,500원|구움 도너츠(ea)_3,500원|청 포장(ea)_12,000원"|070-0009-0009|서울 강남구 강남대로158길 21 2층|none|12:00 - 22:00
펠트커피 도산공원점|"에스프레소_4,500원|아메리카노_4,500원|카페라떼_5,000원|플랫화이트_5,000원"|070-7756-3145|서울 강남구 언주로164길 23|발렛파킹, 포장, 무선 인터넷, 반려동물 동반|11:00 - 21:00
네기다이닝라운지|"사시미 모리아와세(2인)_65,000원|이베리코카타로스 베요타_28,000원|토마토 스키야키 힌우차돌_35,000원|마구로타르타르_32,000원"|02-548-0807|서울 강남구 도산대로15길 18 4층 네기|none|18:00 - 24:00
제이앤제이슨 X|"Young, Wild & Free_21,000원|Boss B*tch_20,000원|16 Shots_21,000원|Hot Girl Summer_20,000원"|010-7430-7053|서울 강남구 도산대로49길 31 지하 1층|단체석, 예약, 남/녀 화장실 구분|21:00 - 새벽 05:00
빠레뜨한남 가로수길점|"빠레뜨 파스타_16,000원|오므라이스_13,000원|들기름 육회 파스타_16,000원|함박 스테이크_15,000원"|02-517-3457|서울 강남구 논현로153길 61 2층|none|11:30 - 20:30
고트델리 압구정|"잠봉뵈르_9,000원|올드스쿨파스트라미_9,000원|루벤_9,000원|고트피자_16,000원"|0507-1398-0816|서울 강남구 선릉로161길 17|발렛파킹, 포장, 국민지원금|11:30 - 21:00
우미학|"우미학 맡김차림 코스_110,000원|등심_45,000원|차돌박이 영양부추무침_25,000원|치즈구이_10,000원"|0507-1404-2213|서울 강남구 압구정로30길 51|단체석, 주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|11:30 - 22:00
뮤즈온|뮤즈온 사워_15,000원|0507-1441-4541|서울 강남구 도산대로15길 32 2층|단체석, 주차, 예약, 무선 인터넷, 제로페이, 국민지원금|18:00 - 새벽 02:00
정돈프리미엄 신사점|"로스카츠 (220g)_18,000원|히레카츠 (220g)_19,000원|로스+히레 카츠_23,000원|상로스카츠 (270~280g)_24,000원"|0507-1322-0924|서울 강남구 강남대로160길 28|단체석, 발렛파킹, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|11:30 - 22:00
선셋스위밍 샌드위치|"아메리카노_5,000원|라떼_5,800원|카푸치노_5,800원|바닐라 라떼_6,200원"|0507-1495-7677|서울 강남구 언주로170길 23 1층|발렛파킹, 포장, 무선 인터넷, 국민지원금|10:00 - 21:00
프레임|"오리 콩피_30,000원|포르치니 버섯 크림 파스타_22,000원|감자 도피누아즈_19,000원|제철 과일 샐러드_14,000원"|0507-1373-9731|서울 강남구 도산대로11길 32 2층|발렛파킹, 예약|16:00 - 23:00
노모어피자|"half & half pizza + side menu + 탄산음료_30,000원|chesse gopchang pizza_25,000원|signature cheese pizza_20,000원|super combination pizza_20,000원"|02-6080-3417|서울 강남구 언주로164길 34-2 1층|단체석, 포장, 배달, 예약, 무선 인터넷|12:00 - 22:00
타코앤칠리|"알파스톨타코×2_9,000원|소프트 타코_5,000원|부리또 볼_10,500원|부리또_9,500원"|0507-1406-1706|서울 강남구 압구정로2길 28 1층|none|11:30 - 21:00
스시츠바사|"런치오마카세_55,000원|디너오마카세_105,000원|콜키지_20,000원"|0507-1316-9198|서울 강남구 강남대로156길 31-4 1층|발렛파킹, 예약, 무선 인터넷, 제로페이, 국민지원금|12:00 - 22:00
플링크 압구정|"크루아상_4,000원|아몬드 크루아상_4,800원|아메리카노_5,000원|프렌치 꽈배기_4,200원"|02-540-0301|서울 강남구 언주로173길 23 1층|단체석, 주차, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분|08:00 - 20:00
김북순큰남비집 신사본점|"목살김치찌개_9,000원|초란뚝배기탕_9,000원|목살듬뿍김치찌개_18,000원|해물 순두부찌개_9,000원"|02-543-9024|서울 강남구 압구정로2길 15 신사아이빌|포장, 남/녀 화장실 구분, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이, 국민지원금|10:20 - 22:00
아우어베이커리 도산본점|"더티초코_4,800원|빨미까레_3,900원|바닐라더블_5,300원|그린티더블_5,300원"|02-545-5556|서울 강남구 도산대로45길 10-11 JYC2빌딩|발렛파킹, 포장, 무선 인터넷, 남/녀 화장실 구분|09:00 - 21:00
우시야 본점|"우시야코스A [1인]_99,000원|우시야코스B [1인]_79,000원|우시야코스C [1인]_59,000원"|010-9359-9667|서울 강남구 도산대로27길 16 1층 우시야|예약, 무선 인터넷, 국민지원금|17:00 - 23:00
Bowl Room|"보울룸 시그니쳐_12,000원|쉬림프타코_4,000원|피쉬타코_4,000원|또띠아 칩_1,500원"|0507-1351-0260|서울 강남구 압구정로42길 36|포장, 배달, 무선 인터넷, 남/녀 화장실 구분|11:00 - 20:30
신사 모소리|"모소리살_15,000원|가오리살_15,000원|가로막살_15,000원|껍데기_9,000원"|0507-1318-0542|서울 강남구 도산대로1길 24|주차, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 국민지원금|17:00 - 23:00
천미미|"돼지고기 탕수육_28,000원|중화갈비_45,000원|새우완자닭봉(방방샤)_35,000원|가지튀김_38,000원"|02-540-7202|서울 강남구 강남대로152길 11|단체석, 발렛파킹, 포장, 예약, 남/녀 화장실 구분, 국민지원금|11:30 - 21:30
오엔|"T-bone Set (2인)_209,000원|Premium Set (2인)_139,000원|Couple set (2인)_119,000원|Mozza Gratin Chili Ttock Bok Ki_29,000원"|0507-1400-1582|서울 강남구 압구정로11길 37-30|none|none
이치에|"사시미모리아와세(모둠생선회)_59,000원|혼마구로_35,000원|아나고텐푸라(바다장어튀김)_30,000원|멘치카츠_25,000원"|070-4273-4087|서울 강남구 선릉로155길 23-3 2층|단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분|18:00 - 24:00
텔러스 9.5|"블랙 바닐라 밀크티_9,000원|유자 민트 에이드_9,000원|발로나 초코라떼_9,500원|바닐라라떼_8,500원"|02-542-2395|서울 강남구 도산대로 153|발렛파킹, 무선 인터넷|12:00 - 24:00
더플레이트디저트|"밀푀유 크루아상_3,800원|밀푀유슈_3,500원|명란 아보카도 크로아상_4,800원|레몬 복숭아 페이스트리_4,200원"|02-546-6056|서울 강남구 논현로 854 안다즈강남 B1 B101호|"가격표 사진을 올려주세요.
추가"|09:00 - 21:00
사브서울|"대왕문어 카르파쵸_16,000원|제주 아스파라거스_20,000원|새조개 링귀니_28,000원|덕자병어_34,000원"|02-512-4939|서울 강남구 논현로175길 6 B1F|none|18:00 - 24:00
신사숙녀|"베이컨치즈감자전_25,000원|닭다리살파채_23,000원|낙곱새_35,000원|김치찌개(돼지 or 꽁치)_25,000원"|0507-1347-1681|서울 강남구 강남대로152길 13 지상 1층|단체석, 주차, 발렛파킹, 예약, 남/녀 화장실 구분|11:30 - 새벽 03:00
어물전 청 도산공원점|"메뉴_변동|맡김차림_80,000원"|0507-1418-0488|서울 강남구 도산대로49길 16-7 1층, 2층|단체석, 무선 인터넷, 남/녀 화장실 구분|17:00 - 23:00
아가젤라또|"1인 젤라또(컵)_5,000원|포장(미듐)-세가지맛_20,000원|포장(라지)-네가지맛_26,000원"|0507-1398-2885|서울 강남구 논현로155길 11 1층|포장, 예약, 무선 인터넷, 반려동물 동반, 국민지원금|12:00 - 22:00
바빌리안테이블|"립아이 스테이크_59,400원|치즈 퐁듀 스테이크_43,000원|이베리코 스테이크_45,000원|로제 치킨 스튜_45,000원"|02-540-3305|서울 강남구 압구정로46길 5-2|none|none
핀치브런치바|"시즈널 브런치_변동|고수타르트_변동|얼그레이 초콜릿 밀페유_변동|내추럴와인_변동"|0507-1390-0526|서울 강남구 압구정로4길 19|단체석, 예약, 반려동물 동반|11:30 - 22:00
더페이머스버거 신사점|"페이머스버거-싱글_8,000원|페이머스버거-더블_11,000원|로얄그린버거_10,500원"|02-6012-0811|서울 강남구 도산대로 113 1층|포장, 배달|11:30 - 21:30
대봉집 신사본점|"삼겹살_14,000원|수제 껍데기_10,000원|대봉불고기_12,000원|돼지매운탕 소_18,000원"|0507-1310-0155|서울 강남구 압구정로2길 57 1층 대봉집|단체석, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|16:00 - 24:00
랜디스도넛 가로수길점|"Classic_2,200원|Deluxe_2,500원|Fancy_2,900원|Premium_3,300~3,500"|0507-1410-3255|서울 강남구 도산대로15길 16|none|none
당옥|"밤 몽실타래_15,000원|말차딸기 몽실타래_15,000원|와케이크 모음4구(예약)_12,000원|카츠샌드 (예약권장)_10,000원"|0507-1379-1276|서울 강남구 강남대로162길 22 1층|포장, 국민지원금|11:30 - 21:00
뮤지드아트|"앙콩트파리 브라운_5,500원|앙콩트파리 화이트_5,500원|에스프레소 프로폰도_6,000원|자몽 크로플_6,500원"|0507-1333-5548|서울 강남구 압구정로2길 46 강남상가 2층 209-1호|포장, 배달, 무선 인터넷, 남/녀 화장실 구분|10:30 - 21:30
UPPERWEST|"어퍼웨스트 콘비프 해쉬_24,000원|트러플 만조 크림 페투치니_28,000원|채끝스테이크와 포르치니 크림리조또_38,000원|어퍼웨스트 브렉퍼스트_19,000원"|02-547-7792|서울 강남구 도산대로15길 25|발렛파킹, 포장, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|11:30 - 22:00
카페 아뮈제 도산|"라비앙로즈_8,000원|베르베르_8,000원|두부_9,000원|생토노레_9,000원"|070-5175-0070|서울 강남구 압구정로46길 55 1층|단체석, 발렛파킹, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 제로페이|10:00 - 22:00
우돈청|"제주오겹살_20,000원|목항정살_28,000원|생삼겹살_18,000원|가브리살_20,000원"|0507-1369-5055|서울 강남구 언주로170길 37|단체석, 주차, 발렛파킹, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금|16:00 - 새벽 01:00
플르서라구뜨|"오믈렛_18,000원|오일파스타_20,000원|토마토스파게티_21,000원|크림스파게티_20,000원"|0507-1443-1504|서울 강남구 압구정로46길 23 Fleurs sur la route|none|none
리마크스|"Brioche French Toast_19,000원|Hamburg Steak_28,000원|Omurice_24,000원|Monte Cristo_18,000원"|02-6925-3129|서울 강남구 언주로168길 6 1층|단체석, 주차, 발렛파킹, 무선 인터넷, 남/녀 화장실 구분|08:30 - 18:00
스몰디쉬빅쇼|"매콤 오이 샐러드_6,500원|어향가지_18,000원|목이버섯 샐러드_7,000원|베이컨 숙주 볶음_8,000원"|0507-1340-3996|서울 강남구 강남대로162길 41-20 1층|포장, 배달, 무선 인터넷, 남/녀 화장실 구분|점심 12:00 - 15:00
시추안하우스 압구정점|"마라 곱창 전골_50,000원|해산물 마라 샹궈_42,000원|마라 소고기 전골_42,000원|라즈지 (순살)_33,000원"|02-511-1162|서울 강남구 논현로 854 안다즈 호텔 지하 1층|단체석, 주차, 발렛파킹, 포장, 예약, 남/녀 화장실 구분, 장애인 편의시설|11:30 - 22:00
에이커스|"클래식 치킨 시저_10,500원|멕시칸_13,500원|보그_13,500원|스파이시555_11,500원"|02-545-7588|서울 강남구 도산대로17길 30 에이커스|단체석, 발렛파킹, 포장, 배달, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분|11:00 - 22:00
잠수교집 5호점|"생삼겹살 1인분(160g)_15,000원|급랭삼겹살 1인분(160g)_15,000원|시골청국장_8,500원|얼큰순두부_8,500원"|02-543-0434|서울 강남구 언주로153길 14|국민지원금|11:30 - 22:00
청수당갤러리|"오리지날수플레카스텔라(600g)_16,000원|딸기수플레카스텔라(600g)_18,000원|스톤드립계란커피_7,300원|스톤드립커피(original)_5,800원"|0507-1372-0620|서울 강남구 도산대로15길 32-4 1층|국민지원금|11:30 - 22:00
식물학|"오렌지 블라썸_6,500원|베르가못 아이스티_6,000원|메리골드_6,500원|차이티 라떼_6,500원"|070-4118-4010|서울 강남구 강남대로154길 33 1층 카페 식물학|단체석, 포장, 배달, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 국민지원금|10:00 - 22:00
카페 마당|"클럽샌드위치_28,500원|수제버거_29,500원|크림소스와 구운 가리비 스파게티_32,000원|마당 티라미수_17,500원"|02-546-3643|서울 강남구 도산대로45길 7 에르메스도산파크|단체석|11:00 - 19:00
파시0914|레지나 마르게리따_22,000원|02-2056-0917|서울 강남구 도산대로45길 15 지하 1층|발렛파킹|11:00 - 22:00
미우|"꽃등심 1인분_47,000원|채끝등심 1인분_47,000원|살치살_47,000원|특수부위 (안창,토시살,제비츄리)_54,000원"|02-544-7775|서울 강남구 압구정로 113-22 지하일층 미우|단체석, 주차, 예약, 남/녀 화장실 구분|17:00 - 21:00
을지다락 가로수길|"다락오므라이스_14,000원|매콤크림파스타_17,000원|가츠산도_12,000원|찹목살스테이크_20,000원"|0507-1437-9034|서울 강남구 압구정로10길 29 신성빌딩 2층|단체석, 포장, 배달, 예약, 무선 인터넷, 제로페이|11:30 - 21:10
형훈 텐동|"형훈 텐동_9,800원|스페셜 텐동_14,800원|에비동_12,000원|장어 텐동_12,800원"|0507-1385-3404|서울 강남구 압구정로46길 75 2층|포장, 무선 인터넷|11:30 - 21:00
심양 청담본점|"데리야끼 양꼬치_15,000원|꿔바로우_20,000원|오리지널 양꼬치_15,000원|모듬꼬치_40,000원"|02-545-9211|서울 강남구 선릉로161길 21 1층, 심양 청담본점|발렛파킹, 예약, 국민지원금|17:30 - 새벽 02:00
나따오비까 신사점|"에그타르트 클래식_2,800원|호두 타르트_2,800원|크림치즈 타르트_2,800원|카카오초코 타르트_2,800원"|0507-1400-8618|서울 강남구 압구정로2길 37|국민지원금|10:00 - 22:30
스시선수|"점심 스시세트_65,000원|점심 사시미세트_65,000원|점심 지라시스시세트_65,000원|점심 도미조림_65,000원"|02-514-0812|서울 강남구 도산대로45길 6 호림아트센터 2빌딩|단체석, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분|10:00 - 22:00
딩딤1968|"하가우_7,500원|시우마이_7,500원|초이가우_7,500원|샤오롱바오_8,000원"|02-517-1968|서울 강남구 강남대로160길 27|포장, 무선 인터넷, 지역화폐(모바일형), 제로페이, 국민지원금|11:00 - 22:00
크라운돼지|"티돈스테이크 세트(640g)_57,000원|돈마호크 세트(550g)_57,000원|쫄데기살(120g)_13,000원|오겹살(160g)_17,000원"|0507-1489-5700|서울 강남구 강남대로156길 17-1|단체석, 주차, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분|16:00 - 22:30
미분당 신사점|"차돌양지힘줄 쌀국수_10,500원|차돌박이 쌀국수_8,500원|양지 쌀국수_9,500원|차돌양지 쌀국수_10,000원"|0507-1326-3607|서울 강남구 도산대로1길 18 1층|포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(모바일형), 제로페이, 국민지원금|11:00 - 21:00
미드타운|"LUNCH_변동|DINNER_변동|ALCOHOL_변동|DRINKS_변동"|02-540-5240|서울 강남구 도산대로11길 40|단체석, 발렛파킹, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분|11:30 - 새벽 01:00
솔솥 청담점|"스테이크솥밥_15,000원|도미관자솥밥_15,000원|전복솥밥_15,000원|장어솥밥_24,000원"|02-518-6806|서울 강남구 도산대로53길 16|https://solsot0.modoo.at/|11:30 - 21:00
